Country,Station,Year,Number_Rain_day
Niger,BIRNI-N_KONNI,1983,39
Niger,BIRNI-N_KONNI,1984,36
Niger,BIRNI-N_KONNI,1985,40
Niger,BIRNI-N_KONNI,1986,41
Niger,BIRNI-N_KONNI,1987,34
Niger,BIRNI-N_KONNI,1988,47
Niger,BIRNI-N_KONNI,1989,49
Niger,BIRNI-N_KONNI,1990,51
Niger,BIRNI-N_KONNI,1991,56
Niger,BIRNI-N_KONNI,1992,56
Niger,BIRNI-N_KONNI,1993,44
Niger,BIRNI-N_KONNI,1994,51
Niger,BIRNI-N_KONNI,1995,45
Niger,BIRNI-N_KONNI,1996,42
Niger,BIRNI-N_KONNI,1997,47
Niger,BIRNI-N_KONNI,1998,46
Niger,BIRNI-N_KONNI,1999,49
Niger,BIRNI-N_KONNI,2000,41
Niger,BIRNI-N_KONNI,2001,46
Niger,BIRNI-N_KONNI,2002,58
Niger,BIRNI-N_KONNI,2003,47
Niger,BIRNI-N_KONNI,2004,47
Niger,BIRNI-N_KONNI,2005,44
Niger,BIRNI-N_KONNI,2006,50
Niger,BIRNI-N_KONNI,2007,48
Niger,BIRNI-N_KONNI,2008,49
Niger,BIRNI-N_KONNI,2009,39
Niger,BIRNI-N_KONNI,2010,61
Niger,BIRNI-N_KONNI,2011,46
Niger,BIRNI-N_KONNI,2012,49
Niger,BIRNI-N_KONNI,2013,45
Niger,BIRNI-N_KONNI,2014,49
Niger,BIRNI-N_KONNI,2015,57
Niger,BIRNI-N_KONNI,2016,53
Niger,BIRNI-N_KONNI,2017,40
Niger,BIRNI-N_KONNI,2018,51
Niger,BIRNI-N_KONNI,2019,57
Niger,BIRNI-N_KONNI,2020,64
Niger,BIRNI-N_KONNI,2021,54
Niger,BIRNI-N_KONNI,2022,3
