Country,Station,Year,Number_days
Niger,BIRNI-N_KONNI,1980,48
Niger,BIRNI-N_KONNI,1981,36
Niger,BIRNI-N_KONNI,1982,26
Niger,BIRNI-N_KONNI,1983,29
Niger,BIRNI-N_KONNI,1984,28
Niger,BIRNI-N_KONNI,1985,24
Niger,BIRNI-N_KONNI,1986,35
Niger,BIRNI-N_KONNI,1987,25
Niger,BIRNI-N_KONNI,1988,39
Niger,BIRNI-N_KONNI,1989,34
Niger,BIRNI-N_KONNI,1990,35
Niger,BIRNI-N_KONNI,1991,43
Niger,BIRNI-N_KONNI,1992,31
Niger,BIRNI-N_KONNI,1993,32
Niger,BIRNI-N_KONNI,1994,38
Niger,BIRNI-N_KONNI,1995,34
Niger,BIRNI-N_KONNI,1996,36
Niger,BIRNI-N_KONNI,1997,30
Niger,BIRNI-N_KONNI,1998,32
Niger,BIRNI-N_KONNI,1999,42
Niger,BIRNI-N_KONNI,2000,29
Niger,BIRNI-N_KONNI,2001,30
Niger,BIRNI-N_KONNI,2002,40
Niger,BIRNI-N_KONNI,2003,34
Niger,BIRNI-N_KONNI,2004,25
Niger,BIRNI-N_KONNI,2005,32
Niger,BIRNI-N_KONNI,2006,33
Niger,BIRNI-N_KONNI,2007,31
Niger,BIRNI-N_KONNI,2008,36
Niger,BIRNI-N_KONNI,2009,34
Niger,BIRNI-N_KONNI,2010,41
Niger,BIRNI-N_KONNI,2011,29
Niger,BIRNI-N_KONNI,2012,40
Niger,BIRNI-N_KONNI,2013,31
Niger,BIRNI-N_KONNI,2014,35
Niger,BIRNI-N_KONNI,2015,36
Niger,BIRNI-N_KONNI,2016,44
Niger,BIRNI-N_KONNI,2017,32
Niger,BIRNI-N_KONNI,2018,37
Niger,BIRNI-N_KONNI,2019,42
Niger,BIRNI-N_KONNI,2020,45
Niger,BIRNI-N_KONNI,2021,37
Niger,BIRNI-N_KONNI,2022,1
