Country,Station,Year,sum_Precipitation
Niger,MAINE-SOROA,1980,37
Niger,MAINE-SOROA,1981,30
Niger,MAINE-SOROA,1982,16
Niger,MAINE-SOROA,1983,19
Niger,MAINE-SOROA,1984,20
Niger,MAINE-SOROA,1985,19
Niger,MAINE-SOROA,1986,21
Niger,MAINE-SOROA,1987,18
Niger,MAINE-SOROA,1988,29
Niger,MAINE-SOROA,1989,22
Niger,MAINE-SOROA,1990,20
Niger,MAINE-SOROA,1991,22
Niger,MAINE-SOROA,1992,25
Niger,MAINE-SOROA,1993,17
Niger,MAINE-SOROA,1994,34
Niger,MAINE-SOROA,1995,25
Niger,MAINE-SOROA,1996,30
Niger,MAINE-SOROA,1997,16
Niger,MAINE-SOROA,1998,26
Niger,MAINE-SOROA,1999,31
Niger,MAINE-SOROA,2000,21
Niger,MAINE-SOROA,2001,26
Niger,MAINE-SOROA,2002,25
Niger,MAINE-SOROA,2003,30
Niger,MAINE-SOROA,2004,16
Niger,MAINE-SOROA,2005,22
Niger,MAINE-SOROA,2006,26
Niger,MAINE-SOROA,2007,26
Niger,MAINE-SOROA,2008,20
Niger,MAINE-SOROA,2009,21
Niger,MAINE-SOROA,2010,29
Niger,MAINE-SOROA,2011,26
Niger,MAINE-SOROA,2012,33
Niger,MAINE-SOROA,2013,28
Niger,MAINE-SOROA,2014,18
Niger,MAINE-SOROA,2015,23
Niger,MAINE-SOROA,2016,25
Niger,MAINE-SOROA,2017,23
Niger,MAINE-SOROA,2018,33
Niger,MAINE-SOROA,2019,35
Niger,MAINE-SOROA,2020,31
Niger,MAINE-SOROA,2021,30
Niger,MAINE-SOROA,2022,0
